AFRICA,Total Confirmed Cases,Number of Days Observed,Lowest case (Min),Highest Case (Max)
Algeria,58574,286,0,58574
Angola,11228,286,0,11228
Benin,2683,286,0,2683
Botswana,6642,286,0,6642
Burkina Faso,2517,286,0,2517
Burundi,589,286,0,589
Cabo Verde,8882,286,0,8882
Cameroon,22103,286,0,22103
Central African Republic,4866,286,0,4866
Chad,1499,286,0,1499
Comoros,545,286,0,545
Congo (Brazzaville),5290,286,0,5290
Congo (Kinshasa),11395,286,0,11395
Cote d'Ivoire,20753,286,0,20753
Djibouti,5573,286,0,5573
Egypt,107925,286,0,107925
Equatorial Guinea,5089,286,0,5089
Eritrea,480,286,0,480
Eswatini,5929,286,0,5929
Ethiopia,96942,286,0,96942
Gabon,8984,286,0,8984
Gambia,3672,286,0,3672
Ghana,48200,286,0,48200
Guinea,12213,286,0,12213
Guinea-Bissau,2413,286,0,2413
Kenya,56601,286,0,56601
Lesotho,1961,286,0,1961
Liberia,1436,286,0,1436
Libya,62907,286,0,62907
Madagascar,17111,286,0,17111
Malawi,5933,286,0,5933
Mali,3573,286,0,3573
Mauritania,7704,286,0,7704
Mauritius,451,286,0,451
Morocco,225070,286,0,225070
Mozambique,13130,286,0,13130
Namibia,13012,286,0,13012
Niger,1222,286,0,1222
Nigeria,63036,286,0,63036
Rwanda,5155,286,0,5155
Sao Tome and Principe,949,286,0,949
Senegal,15637,286,0,15637
Seychelles,153,286,0,153
Sierra Leone,2366,286,0,2366
Somalia,3941,286,0,3941
South Africa,727595,286,0,727595
South Sudan,2926,286,0,2926
Sudan,13866,286,0,13866
Tanzania,509,286,0,509
Togo,2364,286,0,2364
Tunisia,61906,286,0,61906
Uganda,12971,286,0,12971
Western Sahara,10,286,0,10
Zambia,16543,286,0,16543
Zimbabwe,8389,286,0,8389
