Continent,Total Confirmed Cases,Average per day,Number of Days Observed,Lowest case (Min),Highest case (Max),
,,,,,,
Asia,,,,,,
Afghanistan,5738402,20064.34266,286,0,41633,A
Armenia,6622050,23154.02098,286,0,93448,
Azerbaijan,4999156,17479.56643,286,0,57040,
Bahrain,7773876,27181.38462,286,0,82133,
Bangladesh,41272664,144310.014,286,0,410988,
Bhutan,27881,97.48601399,286,0,356,
Brunei,32353,113.1223776,286,0,148,
Cambodia,43817,153.2062937,286,0,292,
China,269615,942.7097902,286,1,991,
China,200241,700.1433566,286,14,944,
China,159039,556.0804196,286,6,589,
China,98515,344.458042,286,1,441,
China,40408,141.2867133,286,0,180,
China,443556,1550.895105,286,26,1935,
China,69604,243.3706294,286,2,260,
China,39747,138.9755245,286,1,147,
China,46342,162.034965,286,4,171,
China,92308,322.7552448,286,1,373,
China,224860,786.2237762,286,0,949,
China,347886,1216.384615,286,5,1284,
China,619627,2166.527972,286,0,5336,
China,18149344,63459.24476,286,444,68143,
China,278507,973.8006993,286,4,1020,
China,55791,195.0734266,286,0,295,
China,177637,621.1083916,286,1,674,
China,254527,889.9545455,286,2,937,
China,36761,128.534965,286,0,157,
China,51411,179.7587413,286,2,283,
China,10725,37.5,286,1,46,
China,20282,70.91608392,286,1,75,
China,4979,17.40909091,286,0,18,
China,87928,307.4405594,286,0,455,
China,214253,749.1363636,286,2,848,
China,193364,676.0979021,286,9,1196,
China,50468,176.4615385,286,1,215,
China,163934,573.1958042,286,5,754,
China,53304,186.3776224,286,4,273,
China,278,0.972027972,286,0,1,
China,100134,350.1188811,286,0,964,
China,52008,181.8461538,286,1,213,
China,346176,1210.405594,286,10,1287,
Georgia,879504,3075.188811,286,0,42579,
India,526936544,1842435.469,286,0,8267623,
Indonesia,27451880,95985.59441,286,0,415402,
Iran,61101803,213642.6678,286,0,628780,
Iraq,32117603,112299.3112,286,0,478701,
Israel,20824442,72812.73427,286,0,315636,
Japan,9149064,31989.73427,286,2,102431,
Jordan,1580229,5525.276224,286,0,81743,
Kazakhstan,12761027,44618.97552,286,0,113309,
Kuwait,12456786,43555.1958,286,0,127293,
Kyrgyzstan,5090115,17797.6049,286,0,59879,
Laos,4417,15.44405594,286,0,24,
Lebanon,3319826,11607.78322,286,0,83697,
Malaysia,2186116,7643.762238,286,0,33339,
Maldives,1016857,3555.444056,286,0,11737,
Mongolia,47472,165.986014,286,0,350,
Nepal,7617556,26634.81119,286,0,176500,
Oman,11758186,41112.53846,286,0,116152,
Pakistan,42671637,149201.528,286,0,336260,
Philippines,27992695,97876.55594,286,0,385400,
Qatar,18322745,64065.54196,286,0,132917,
Saudi Arabia,43764871,153024.0245,286,0,348037,
Singapore,9061345,31683.02448,286,0,58020,
Sri Lanka,572257,2000.898601,286,0,11335,
Syria,350498,1225.517483,286,0,5843,
Tajikistan,1281824,4481.902098,286,0,11096,
Thailand,710460,2484.125874,286,2,3797,
Turkey,46895502,163970.2867,286,0,379775,
United Arab Emirates,12139668,42446.39161,286,0,135141,
Uzbekistan,5376736,18799.77622,286,0,67254,
Vietnam,140055,489.7027972,286,0,1192,
Yemen,259766,908.2727273,286,0,2063,
