EUROPE,Total Confirmed Cases,Number of Days Observed,Lowest case (Min),Highest Case (Max)
Albania,21523,286,0,21523
Andorra,4888,286,0,4888
Austria,114016,286,0,114016
Belarus,100400,286,0,100400
Belgium,447355,286,0,447355
Bosnia and Herzegovina,52269,286,0,52269
Bulgaria,56496,286,0,56496
Croatia,52660,286,0,52660
Cyprus,4760,286,0,4760
Czechia,350896,286,0,350896
Denmark,495,286,0,495
Denmark,17,286,0,17
Denmark,48241,286,0,48241
Estonia,5046,286,0,5046
Finland,16400,286,0,16400
France,10567,286,0,10567
France,8646,286,0,8646
France,7605,286,0,7605
France,3552,286,0,3552
France,4489,286,0,4489
France,28,286,0,28
France,5898,286,0,5898
France,83,286,0,83
France,16,286,0,16
France,566,286,0,566
France,1419295,286,0,1419295
Georgia,42579,286,0,42579
Germany,569598,286,0,569598
Greece,42080,286,0,42080
Hungary,82780,286,0,82780
Iceland,4931,286,0,4931
Ireland,62750,286,0,62750
Italy,731588,286,0,731588
Kosovo,20179,286,0,20179
Latvia,6268,286,0,6268
Liechtenstein,598,286,0,598
Lithuania,16556,286,0,16556
Luxembourg,19101,286,0,19101
Malta,6400,286,0,6400
Moldova,76777,286,0,76777
Monaco,375,286,0,375
Montenegro,19210,286,0,19210
Netherlands,4524,286,0,4524
Netherlands,153,286,0,153
Netherlands,995,286,0,995
Netherlands,844,286,0,844
Netherlands,368147,286,0,368147
North Macedonia,32997,286,0,32997
Norway,21339,286,0,21339
Poland,395480,286,0,395480
Portugal,146847,286,0,146847
Romania,250704,286,0,250704
Russia,1642665,286,0,1642665
San Marino,928,286,0,928
Serbia,49205,286,0,49205
Slovakia,61829,286,0,61829
Slovenia,36206,286,0,36206
Spain,1240697,286,0,1240697
Sweden,124355,286,0,124355
Switzerland,176177,286,0,176177
Ukraine,414567,286,0,414567
United Kingdom,3,286,0,3
United Kingdom,206,286,0,206
United Kingdom,71,286,0,71
United Kingdom,240,286,0,240
United Kingdom,845,286,0,845
United Kingdom,13,286,0,13
United Kingdom,707,286,0,707
United Kingdom,355,286,0,355
United Kingdom,13,286,0,13
United Kingdom,704,286,0,704
United Kingdom,1053864,286,0,1053864
Holy See,27,286,0,27
